ProductID,ProductName,CategoryID,Brand,UnitPrice,StockQuantity,Rating
1,Product_1,6,Apple,19746,316,4.6
2,Product_2,7,Apple,36038,34,5.0
3,Product_3,14,HP,26142,96,4.3
4,Product_4,9,Boat,49859,388,4.6
5,Product_5,12,HP,31059,492,5.0
6,Product_6,3,LG,16622,319,4.8
7,Product_7,5,Samsung,49608,135,4.5
8,Product_8,13,Dell,23807,52,4.3
9,Product_9,7,Dell,46552,175,4.1
10,Product_10,2,Adidas,43926,163,3.9
11,Product_11,14,HP,35604,126,4.5
12,Product_12,4,Apple,35881,136,4.3
13,Product_13,2,Boat,38165,389,3.8
14,Product_14,8,Boat,38578,44,4.7
15,Product_15,11,Adidas,32572,262,4.4
16,Product_16,13,Adidas,41595,322,4.3
17,Product_17,1,Apple,44335,458,3.7
18,Product_18,15,Samsung,5231,207,3.8
19,Product_19,9,Sony,12021,25,3.5
20,Product_20,3,Adidas,38206,60,4.0
21,Product_21,4,Apple,12969,134,4.7
22,Product_22,7,Adidas,44691,44,3.9
23,Product_23,1,Dell,36461,100,3.6
24,Product_24,8,Samsung,12231,135,3.7
25,Product_25,10,Boat,31913,105,3.6
26,Product_26,2,Nike,40991,188,4.4
27,Product_27,15,Adidas,6601,349,4.7
28,Product_28,8,Sony,26339,472,4.4
29,Product_29,12,Samsung,711,367,3.5
30,Product_30,2,Dell,42067,394,4.6
31,Product_31,8,Boat,22662,441,4.9
32,Product_32,4,Nike,19469,445,4.0
33,Product_33,4,LG,14533,411,4.8
34,Product_34,15,Puma,7653,200,4.9
35,Product_35,6,LG,47306,262,4.0
36,Product_36,10,Apple,7642,248,5.0
37,Product_37,1,HP,29835,15,3.7
38,Product_38,3,HP,12414,473,3.5
39,Product_39,5,Samsung,3253,329,3.9
40,Product_40,12,HP,833,450,4.8
41,Product_41,15,Adidas,18748,331,4.6
42,Product_42,11,Apple,11912,438,3.8
43,Product_43,2,Boat,43851,358,3.5
44,Product_44,6,Dell,46742,119,3.8
45,Product_45,12,Apple,36007,129,3.7
46,Product_46,12,Sony,12448,374,4.2
47,Product_47,3,Sony,9870,345,4.8
48,Product_48,15,Nike,5984,122,3.7
49,Product_49,7,Puma,37162,187,4.6
50,Product_50,3,HP,49031,120,3.8
51,Product_51,7,Puma,44740,23,3.7
52,Product_52,13,Apple,26472,238,4.3
53,Product_53,2,Boat,30889,416,4.7
54,Product_54,9,Boat,48490,79,4.9
55,Product_55,1,Nike,21162,59,4.0
56,Product_56,9,Boat,17015,396,3.8
57,Product_57,8,Adidas,1231,97,3.8
58,Product_58,10,Dell,19786,52,4.2
59,Product_59,13,Sony,13878,338,4.8
60,Product_60,5,Samsung,23859,415,3.8
61,Product_61,10,HP,18616,409,3.6
62,Product_62,11,Sony,2000,239,4.0
63,Product_63,6,Samsung,34777,142,4.3
64,Product_64,3,HP,19284,221,4.9
65,Product_65,8,Samsung,15449,410,4.2
66,Product_66,5,Boat,29827,322,4.2
67,Product_67,12,Samsung,36843,345,4.6
68,Product_68,1,Puma,25936,149,4.5
69,Product_69,14,Samsung,22465,488,4.3
70,Product_70,6,Sony,47247,468,3.5
71,Product_71,8,Nike,29158,95,4.2
72,Product_72,10,Puma,16084,486,4.6
73,Product_73,9,Nike,37208,23,3.7
74,Product_74,12,HP,15683,76,3.5
75,Product_75,2,Apple,49444,90,3.6
76,Product_76,4,LG,2014,228,4.8
77,Product_77,14,Boat,35206,25,3.6
78,Product_78,10,Dell,2791,196,3.5
79,Product_79,5,Samsung,26494,171,3.6
80,Product_80,11,Puma,42014,375,4.7
