ReviewID,CustomerID,ProductID,Rating,ReviewText,ReviewDate
1,1352,215,4,Worth buying,2024-05-05
2,1770,406,4,Quality could improve,2023-07-07
3,4138,271,2,Excellent product,2023-01-15
4,3040,478,5,Very good,2023-03-12
5,1188,407,2,Highly recommended,2024-12-11
6,347,224,4,Amazing experience,2024-03-28
7,280,490,3,Quality could improve,2024-05-24
8,949,333,3,Excellent product,2023-06-08
9,725,64,1,Fast delivery,2023-06-14
10,4523,373,3,Very good,2024-05-11
11,1238,96,1,Fast delivery,2025-06-05
12,1925,39,2,Highly recommended,2024-11-20
13,4758,374,1,Good value,2024-07-27
14,3903,287,4,Highly recommended,2023-12-16
15,1198,455,5,Very good,2023-10-26
16,2992,489,4,Quality could improve,2024-01-31
17,2605,249,4,Worth buying,2023-01-28
18,765,82,4,Excellent product,2024-05-18
19,575,282,5,Quality could improve,2023-08-16
20,4682,312,3,Quality could improve,2024-09-29
21,924,93,2,Not satisfied,2025-05-03
22,2723,178,5,Worth buying,2023-09-09
23,847,87,1,Average quality,2025-03-06
24,3513,192,2,Excellent product,2024-11-23
25,4258,461,2,Very good,2023-06-17
26,4838,8,3,Fast delivery,2024-06-02
27,3077,342,2,Highly recommended,2023-06-16
28,4603,36,4,Very good,2025-03-03
29,3959,30,3,Excellent product,2025-05-23
30,2114,338,3,Excellent product,2024-03-05
31,2037,88,4,Good value,2025-06-10
32,2770,331,2,Average quality,2025-02-02
33,3924,26,3,Average quality,2024-10-27
34,4306,467,4,Excellent product,2023-08-06
35,2997,408,2,Not satisfied,2024-09-07
36,3491,249,5,Fast delivery,2023-11-12
37,1138,274,5,Worth buying,2023-05-23
38,84,196,2,Excellent product,2023-09-28
39,4864,167,2,Amazing experience,2024-03-07
40,2107,350,4,Average quality,2023-05-17
41,1163,49,4,Good value,2023-07-11
42,208,329,4,Average quality,2023-03-15
43,976,336,3,Average quality,2023-11-08
44,4413,483,3,Very good,2024-05-20
45,1800,319,2,Average quality,2023-07-08
46,3096,104,5,Excellent product,2024-09-10
47,4136,448,1,Excellent product,2024-02-01
48,3801,443,1,Very good,2025-02-21
49,4645,90,2,Worth buying,2024-12-14
50,4958,161,1,Highly recommended,2024-02-03
51,1280,159,3,Quality could improve,2025-04-02
52,4501,251,5,Good value,2024-07-12
53,4925,31,5,Amazing experience,2025-01-22
54,2654,496,5,Worth buying,2023-10-26
55,4308,389,5,Highly recommended,2023-03-07
56,2669,104,3,Good value,2023-11-22
57,3443,56,1,Good value,2024-10-03
58,3671,259,5,Excellent product,2024-11-27
59,3627,242,5,Quality could improve,2024-02-03
60,3290,37,2,Excellent product,2023-02-19
61,3555,22,2,Worth buying,2024-12-22
62,4829,419,4,Very good,2024-04-11
63,1937,205,4,Not satisfied,2024-05-13
64,1867,324,1,Excellent product,2024-05-06
65,1416,252,3,Amazing experience,2023-08-10
66,3685,321,5,Amazing experience,2024-12-16
67,2148,126,4,Fast delivery,2024-01-31
68,2507,315,4,Quality could improve,2024-12-29
69,53,83,3,Highly recommended,2023-11-16
70,3205,367,2,Good value,2024-07-20
71,1437,41,5,Worth buying,2024-09-26
72,3076,381,4,Good value,2023-06-20
73,3550,106,3,Not satisfied,2024-10-18
74,4766,349,2,Worth buying,2023-03-25
75,235,165,5,Worth buying,2025-05-15
76,1257,461,5,Highly recommended,2023-09-02
77,4899,353,3,Very good,2023-06-10
78,3217,240,4,Very good,2024-04-16
79,2299,343,2,Very good,2024-09-28
80,2232,51,2,Highly recommended,2023-02-05
81,2873,415,3,Excellent product,2023-03-18
82,4106,297,1,Very good,2024-09-14
83,3615,359,4,Highly recommended,2023-01-08
84,4460,76,1,Worth buying,2023-07-14
85,3721,190,1,Not satisfied,2023-06-20
86,1106,293,4,Quality could improve,2025-05-10
87,403,159,2,Very good,2024-02-17
88,4522,126,2,Amazing experience,2025-04-01
89,4790,474,4,Excellent product,2024-11-05
90,4769,38,1,Very good,2025-05-02
91,1543,78,1,Fast delivery,2025-04-14
92,4314,311,5,Amazing experience,2024-05-18
93,3860,348,3,Average quality,2023-10-04
94,1258,181,3,Worth buying,2024-10-17
95,76,456,1,Good value,2023-07-10
96,4193,51,2,Not satisfied,2023-10-04
97,2887,31,2,Excellent product,2024-08-22
98,4056,141,4,Average quality,2023-02-03
99,853,120,3,Quality could improve,2023-09-14
100,3346,102,2,Quality could improve,2024-03-09
101,642,167,2,Highly recommended,2024-05-29
102,332,373,3,Amazing experience,2024-06-29
103,1427,11,3,Fast delivery,2024-05-04
104,1328,443,4,Excellent product,2023-10-14
105,456,112,5,Quality could improve,2024-09-10
106,916,497,3,Very good,2023-08-04
107,3802,480,3,Excellent product,2023-12-27
108,1421,315,3,Amazing experience,2023-01-26
109,3082,332,2,Average quality,2024-07-03
110,4101,452,4,Highly recommended,2023-08-20
111,4217,285,3,Fast delivery,2025-01-27
112,2969,466,1,Highly recommended,2024-02-20
113,4911,92,3,Quality could improve,2024-11-18
114,2968,294,2,Excellent product,2024-03-09
115,4755,387,1,Highly recommended,2025-01-29
116,877,109,5,Quality could improve,2024-01-15
117,4211,152,1,Average quality,2023-09-03
118,3476,315,4,Fast delivery,2025-02-08
119,1563,334,2,Worth buying,2023-07-08
120,3524,424,4,Highly recommended,2024-05-16
121,3910,136,1,Quality could improve,2025-05-29
122,3759,106,1,Not satisfied,2024-08-23
123,3607,412,3,Average quality,2025-01-18
124,1794,82,4,Average quality,2024-02-08
125,269,2,5,Worth buying,2024-08-13
126,3751,101,4,Highly recommended,2025-06-09
127,4533,416,4,Excellent product,2023-01-28
128,3035,470,2,Fast delivery,2023-12-08
129,3781,182,4,Amazing experience,2024-10-05
130,3670,307,1,Worth buying,2025-02-08
131,857,192,3,Fast delivery,2025-03-22
132,1024,476,2,Amazing experience,2025-05-18
133,2730,456,1,Worth buying,2023-09-12
134,1065,75,3,Good value,2024-11-29
135,2424,331,2,Quality could improve,2023-07-31
136,1097,255,4,Highly recommended,2023-02-02
137,2746,472,5,Not satisfied,2023-01-10
138,1584,432,2,Worth buying,2023-03-01
139,2150,357,4,Excellent product,2023-05-07
140,4931,336,5,Excellent product,2025-01-12
141,1905,305,4,Fast delivery,2024-05-27
142,4404,493,5,Not satisfied,2024-03-18
143,175,326,3,Average quality,2023-12-21
144,3292,387,4,Fast delivery,2025-01-06
145,4209,301,2,Fast delivery,2025-03-19
146,1905,11,4,Highly recommended,2025-03-04
147,4808,462,5,Good value,2023-12-20
148,4015,80,2,Excellent product,2025-03-29
149,2221,168,3,Worth buying,2023-08-09
150,395,234,2,Highly recommended,2023-06-05
151,85,320,2,Average quality,2023-08-15
152,4513,58,2,Quality could improve,2024-10-20
153,948,322,4,Good value,2025-02-18
154,1016,105,2,Quality could improve,2023-01-19
155,697,400,2,Highly recommended,2024-09-05
156,4654,50,2,Highly recommended,2024-03-18
157,4725,404,5,Excellent product,2024-02-14
158,2479,492,3,Not satisfied,2025-03-14
159,3423,18,5,Fast delivery,2023-02-17
160,3311,395,5,Fast delivery,2023-07-06
161,311,475,1,Worth buying,2025-03-05
162,3865,369,3,Quality could improve,2025-04-24
163,1344,149,3,Not satisfied,2024-11-10
164,4023,336,3,Very good,2025-03-31
165,2401,28,1,Worth buying,2024-08-21
166,741,250,3,Average quality,2025-02-10
167,1224,160,3,Very good,2023-04-25
168,2210,339,4,Highly recommended,2023-02-20
169,3066,382,4,Quality could improve,2024-12-08
170,871,322,4,Highly recommended,2024-07-23
171,2981,372,2,Excellent product,2024-05-21
172,2495,312,3,Very good,2023-07-11
173,154,218,5,Highly recommended,2023-06-16
174,260,112,2,Average quality,2025-06-08
175,2760,7,2,Fast delivery,2023-09-12
176,2906,271,4,Highly recommended,2023-10-14
177,4869,461,2,Not satisfied,2024-05-06
178,1175,169,3,Average quality,2023-10-22
179,644,451,1,Highly recommended,2025-01-06
180,2492,168,5,Very good,2025-04-20
181,1371,370,4,Excellent product,2024-10-02
182,4735,140,3,Highly recommended,2025-03-24
183,1889,405,1,Excellent product,2023-08-04
184,3089,98,4,Quality could improve,2023-08-05
185,1367,336,4,Very good,2024-11-10
186,2416,395,2,Quality could improve,2024-01-31
187,397,71,1,Good value,2023-06-19
188,3723,57,4,Excellent product,2023-03-18
189,2686,57,2,Quality could improve,2024-08-19
190,2424,335,4,Worth buying,2024-02-28
191,3210,487,5,Good value,2023-10-13
192,2859,3,4,Worth buying,2024-04-19
193,2561,452,3,Not satisfied,2023-05-19
194,4342,177,3,Highly recommended,2024-10-09
195,1319,420,1,Worth buying,2025-03-24
196,1325,2,3,Excellent product,2023-06-20
197,2834,355,2,Quality could improve,2023-01-26
198,346,412,1,Average quality,2023-11-29
199,4696,350,5,Highly recommended,2025-05-19
200,1051,434,3,Amazing experience,2025-01-04
201,1384,311,2,Good value,2023-06-27
202,2527,212,3,Not satisfied,2023-08-10
203,3246,197,3,Excellent product,2023-09-07
204,2451,165,2,Worth buying,2025-04-21
205,3550,395,2,Good value,2024-09-24
206,3802,236,2,Average quality,2025-01-06
207,3591,26,4,Fast delivery,2023-03-28
208,4551,250,2,Quality could improve,2023-05-04
209,73,370,1,Worth buying,2024-06-17
210,1160,370,1,Good value,2025-06-11
211,3611,47,5,Very good,2024-01-08
212,4966,443,4,Fast delivery,2024-05-15
213,2173,96,5,Worth buying,2024-10-16
214,1843,155,1,Average quality,2023-06-13
215,3368,335,3,Quality could improve,2023-09-25
216,2888,201,5,Good value,2024-01-13
217,4369,262,1,Good value,2024-10-18
218,1657,455,2,Fast delivery,2023-12-16
219,3872,150,5,Highly recommended,2024-11-04
220,4517,243,3,Highly recommended,2024-12-03
221,4688,162,3,Amazing experience,2024-08-26
222,3960,274,4,Highly recommended,2024-10-09
223,2164,105,2,Quality could improve,2024-06-24
224,1355,49,2,Worth buying,2025-05-02
225,3941,217,5,Quality could improve,2023-10-04
226,2036,258,3,Good value,2025-06-05
227,4957,330,1,Worth buying,2024-07-30
228,513,105,5,Average quality,2024-12-14
229,92,262,5,Quality could improve,2025-03-28
230,1942,328,4,Very good,2024-12-01
231,3250,134,5,Average quality,2024-03-17
232,1575,8,3,Very good,2024-03-03
233,1614,457,3,Very good,2024-05-18
234,2320,301,2,Excellent product,2024-11-18
235,2969,129,3,Not satisfied,2024-06-26
236,3505,263,1,Worth buying,2024-11-26
237,1316,490,2,Average quality,2023-04-16
238,2742,336,2,Average quality,2025-02-28
239,4762,89,3,Amazing experience,2024-06-23
240,4954,44,1,Excellent product,2025-05-18
241,3941,424,5,Amazing experience,2023-07-06
242,1381,492,4,Very good,2025-04-20
243,2480,238,1,Average quality,2023-05-30
244,1526,480,5,Very good,2024-10-21
245,3669,85,4,Very good,2023-12-18
246,969,345,2,Quality could improve,2025-04-28
247,1472,51,1,Not satisfied,2023-02-10
248,943,495,4,Not satisfied,2024-07-16
249,3288,408,4,Worth buying,2023-03-28
250,3294,28,5,Amazing experience,2023-09-14
251,1205,184,5,Fast delivery,2023-04-01
252,2615,432,1,Fast delivery,2024-02-12
253,3374,336,4,Fast delivery,2025-02-18
254,2318,453,5,Excellent product,2024-02-26
255,1993,330,1,Amazing experience,2023-09-29
256,1978,242,3,Worth buying,2024-08-10
257,4583,219,2,Very good,2024-01-25
258,2806,456,2,Not satisfied,2024-01-06
259,2329,388,3,Fast delivery,2023-01-27
260,739,141,1,Good value,2024-05-24
261,3846,164,4,Not satisfied,2024-02-04
262,1864,270,3,Good value,2025-03-12
263,1144,91,5,Good value,2023-07-25
264,3046,322,4,Quality could improve,2024-07-15
265,4207,205,4,Good value,2024-06-12
266,1190,45,5,Very good,2025-01-02
267,4041,98,4,Highly recommended,2023-08-22
268,2263,419,2,Excellent product,2023-06-22
269,1661,27,3,Amazing experience,2024-02-11
270,4898,357,2,Amazing experience,2023-04-24
271,3292,145,1,Amazing experience,2023-10-03
272,298,353,2,Fast delivery,2025-03-27
273,3137,217,3,Excellent product,2024-01-18
274,3914,381,3,Excellent product,2023-01-21
275,4419,459,2,Excellent product,2024-05-11
276,4520,488,5,Very good,2023-11-19
277,3801,364,1,Amazing experience,2025-05-22
278,2211,418,1,Worth buying,2025-01-31
279,2601,158,2,Excellent product,2023-05-16
280,4895,459,2,Amazing experience,2023-02-07
281,2161,262,2,Very good,2024-09-23
282,4283,116,1,Good value,2023-09-23
283,3544,356,1,Quality could improve,2023-12-22
284,3119,243,4,Worth buying,2023-03-14
285,3980,497,3,Highly recommended,2024-06-29
286,2760,112,1,Average quality,2025-03-27
287,3908,363,4,Amazing experience,2023-06-18
288,11,272,1,Fast delivery,2023-09-23
289,588,74,2,Worth buying,2025-04-29
290,331,72,5,Highly recommended,2024-05-04
291,1652,104,3,Fast delivery,2023-11-18
292,417,443,2,Average quality,2024-10-25
293,2850,145,4,Worth buying,2023-11-02
294,2947,198,3,Highly recommended,2025-06-08
295,4917,94,3,Quality could improve,2023-02-03
296,2185,126,5,Worth buying,2024-10-13
297,4441,296,4,Highly recommended,2024-10-23
298,4902,162,3,Average quality,2024-07-18
299,74,381,5,Excellent product,2024-08-10
300,303,410,4,Average quality,2024-05-20
301,3472,233,5,Average quality,2025-05-01
302,4253,224,4,Highly recommended,2023-06-01
303,4345,447,5,Quality could improve,2023-02-13
304,2798,247,1,Quality could improve,2024-05-30
305,3493,164,3,Very good,2023-05-08
306,2330,460,1,Worth buying,2023-09-10
307,2500,241,2,Good value,2023-12-03
308,2739,237,3,Fast delivery,2023-06-29
309,3577,184,4,Highly recommended,2025-04-11
310,4195,96,5,Highly recommended,2025-01-08
311,4017,441,5,Good value,2024-01-21
312,1406,40,3,Average quality,2025-04-06
313,3651,393,5,Worth buying,2024-07-18
314,3877,197,3,Good value,2023-07-22
